,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Joe Burrow,Bengals,2023,5,,"$275,000,000 ","$55,000,000 ","$219,010,000 ",,24.50%,,"$341,548,043 ","$68,309,609 ","$272,008,861 "
1,Aaron Rodgers,GB/NYJ,2022,5,,"$150,815,000 ","$50,271,667 ","$150,665,000 ",,24.10%,,"$202,245,668 ","$67,415,223 ","$202,044,515 "
2,Josh Allen,Bills,2021,6,,"$258,000,000 ","$43,000,000 ","$150,000,000 ",,23.60%,,"$394,704,658 ","$65,784,110 ","$229,479,452 "
3,Russell Wilson,Broncos,2022,5,,"$245,000,000 ","$49,000,000 ","$165,000,000 ",,23.50%,,"$328,549,472 ","$65,709,894 ","$221,268,012 "
4,Dak Prescott,Cowboys,2024,4,,"$240,000,000 ","$60,000,000 ","$231,000,000 ",,23.50%,,"$262,364,918 ","$65,591,229 ","$252,526,233 "
5,Justin Herbert,Chargers,2023,5,,"$262,500,000 ","$52,500,000 ","$193,738,375 ",,23.40%,,"$326,023,132 ","$65,204,626 ","$240,621,683 "
6,Lamar Jackson,Ravens,2023,5,,"$260,000,000 ","$52,000,000 ","$185,000,000 ",,23.10%,,"$322,918,149 ","$64,583,630 ","$229,768,683 "
7,Patrick Mahomes,Chiefs,2020,10,,"$450,000,000 ","$45,000,000 ","$141,000,000 ",,22.70%,,"$633,905,146 ","$63,390,515 ","$198,623,613 "
8,Jalen Hurts,Eagles,2023,5,,"$255,000,000 ","$51,000,000 ","$179,304,000 ",,22.70%,,"$316,708,185 ","$63,341,637 ","$222,694,292 "
9,Kyler Murray,Cardinals,2022,5,,"$230,500,000 ","$46,100,000 ","$160,000,000 ",,22.10%,,"$309,104,707 ","$61,820,941 ","$214,562,920 "
10,Deshaun Watson,Browns,2022,5,,"$230,000,000 ","$46,000,000 ","$230,000,000 ",,22.10%,,"$308,434,198 ","$61,686,840 ","$308,434,198 "
11,Dak Prescott,Cowboys,2021,4,,"$160,000,000 ","$40,000,000 ","$126,000,000 ",,21.90%,,"$244,778,082 ","$61,194,521 ","$192,762,740 "
12,Trevor Lawrence,Jaguars,2024,5,,"$275,000,000 ","$55,000,000 ","$200,000,000 ",,21.50%,,"$300,626,468 ","$60,125,294 ","$218,637,431 "
13,Jordan Love,Packers,2024,4,,"$220,000,000 ","$55,000,000 ","$160,300,000 ",,21.50%,,"$240,501,175 ","$60,125,294 ","$175,237,901 "
14,Tua Tagovailoa,Dolphins,2024,4,,"$212,400,000 ","$53,100,000 ","$167,171,000 ",,20.80%,,"$232,192,952 ","$58,048,238 ","$182,749,190 "
15,Jared Goff,Lions,2024,4,,"$212,000,000 ","$53,000,000 ","$170,611,832 ",,20.80%,,"$231,755,677 ","$57,938,919 ","$186,510,664 "
16,Josh Allen,Bills,2025,6,,"$330,000,000 ","$55,000,000 ","$250,000,000 ",,19.70%,,"$330,000,000 ","$55,000,000 ","$250,000,000 "
17,Deshaun Watson,Texans,2020,4,,"$156,000,000 ","$39,000,000 ","$111,894,247 ",,19.70%,,"$219,753,784 ","$54,938,446 ","$157,622,976 "
18,Derek Carr,Raiders,2022,3,,"$121,422,481 ","$40,474,160 ","$65,300,000 ",,19.40%,,"$162,829,763 ","$54,276,587 ","$87,568,492 "
19,Matt Stafford,Rams,2022,4,,"$160,000,000 ","$40,000,000 ","$135,000,000 ",,19.20%,,"$214,562,920 ","$53,640,730 ","$181,037,464 "
20,Brett Favre,Packers,1997,5,,"$39,350,000 ","$7,870,000 ","$12,000,000 ",,19.00%,,"$265,029,189 ","$53,005,838 ","$80,822,116 "
21,Carson Palmer,Bengals,2005,6,,"$97,000,000 ","$16,166,667 ","$24,000,000 ",,18.90%,,"$316,753,216 ","$52,792,204 ","$78,371,930 "
22,Aaron Rodgers,Packers,2018,4,,"$134,000,000 ","$33,500,000 ","$98,200,000 ",,18.90%,,"$211,133,183 ","$52,783,296 ","$154,725,959 "
23,Troy Aikman,Cowboys,1999,6,,"$64,500,000 ","$10,750,000 ","$13,000,000 ",,18.80%,,"$314,348,555 ","$52,391,426 ","$63,357,073 "
24,Russell Wilson,SEA/DEN,2019,4,,"$140,000,000 ","$35,000,000 ","$107,000,000 ",,18.60%,,"$207,693,943 ","$51,923,486 ","$158,737,513 "
25,Mark Brunell,Jaguars,1997,4,,"$30,500,000 ","$7,625,000 ","$10,000,000 ",,18.40%,,"$205,422,878 ","$51,355,720 ","$67,351,763 "
26,Drew Bledsoe,Patriots,1995,6,,"$40,462,500 ","$6,743,750 ","$12,900,000 ",,18.20%,,"$304,504,852 ","$50,750,809 ","$97,080,323 "
27,Steve Young,49ers,1997,6,,"$45,000,000 ","$7,500,000 ",$0 ,,18.10%,,"$303,082,935 ","$50,513,823 ",$0 
28,Ben Roethlisberger,Steelers,2019,2,,"$68,000,000 ","$34,000,000 ","$50,000,000 ",,18.10%,,"$100,879,915 ","$50,439,957 ","$74,176,408 "
29,Aaron Rodgers,Packers,2013,5,,"$110,000,000 ","$22,000,000 ","$54,000,000 ",,17.90%,,"$249,691,057 ","$49,938,211 ","$122,575,610 "
30,Jared Goff,LAR/DET,2019,4,,"$134,000,000 ","$33,500,000 ","$110,042,682 ",,17.80%,,"$198,792,774 ","$49,698,193 ","$163,251,418 "
31,Daniel Jones,Giants,2023,4,,"$160,000,000 ","$40,000,000 ","$104,000,000 ",,17.80%,,"$198,718,861 ","$49,679,715 ","$129,167,260 "
32,Kirk Cousins,Falcons,2024,4,,"$180,000,000 ","$45,000,000 ","$100,000,000 ",,17.60%,,"$196,773,688 ","$49,193,422 ","$109,318,716 "
33,Peyton Manning,Colts,2004,7,,"$98,000,000 ","$14,000,000 ","$34,500,000 ",,17.40%,,"$339,549,775 ","$48,507,111 ","$119,535,380 "
34,Brett Favre,NYJ/GB,2001,7,,"$80,600,000 ","$11,514,286 ","$11,000,000 ",,17.10%,,"$333,855,352 ","$47,693,623 ","$45,563,386 "
35,Carson Wentz,PHI/IND/WAS,2019,4,,"$128,000,000 ","$32,000,000 ","$107,870,683 ",,17.00%,,"$189,891,605 ","$47,472,901 ","$160,029,196 "
36,Matt Ryan,IND/ATL,2018,5,,"$150,000,000 ","$30,000,000 ","$100,000,000 ",,16.90%,,"$236,343,115 ","$47,268,623 ","$157,562,077 "
